student_key,id_student,code_module,code_presentation,gender,region,imd_band_imputed,age_band,disability,gender_encoded,age_band_encoded,disability_encoded,education_encoded,imd_band_encoded,num_of_prev_attempts,studied_credits,n_assessments_submitted,avg_score,min_score,max_score,avg_days_early,std_score,submission_rate,at_risk
AAA_2013J_102952,102952,AAA,2013J,M,London Region,60-70%,0-35,N,1,0,0,3,6,0,60,2.0,73.0,70.0,76.0,1.0,4.242640687119285,1.0,0
AAA_2013J_104476,104476,AAA,2013J,M,Ireland,0-10%,35-55,N,1,1,0,4,0,0,60,2.0,81.5,78.0,85.0,-9.5,4.949747468305833,1.0,0
AAA_2013J_106247,106247,AAA,2013J,M,South Region,80-90%,35-55,N,1,1,0,3,8,0,60,2.0,66.5,66.0,67.0,-11.5,0.7071067811865476,1.0,1
AAA_2013J_106577,106577,AAA,2013J,M,East Midlands Region,20-30%,0-35,N,1,0,0,1,2,0,60,2.0,54.0,51.0,57.0,0.5,4.242640687119285,1.0,0
AAA_2013J_110175,110175,AAA,2013J,M,East Anglian Region,80-90%,35-55,N,1,1,0,3,8,0,60,2.0,63.5,61.0,66.0,0.0,3.5355339059327378,1.0,0
AAA_2013J_111717,111717,AAA,2013J,F,East Anglian Region,90-100%,35-55,N,0,1,0,3,9,0,60,1.0,80.0,80.0,80.0,9.0,0.0,0.5,0
AAA_2013J_113295,113295,AAA,2013J,M,Yorkshire Region,60-70%,35-55,N,1,1,0,1,6,0,60,2.0,79.0,77.0,81.0,-3.5,2.8284271247461903,1.0,0
AAA_2013J_114017,114017,AAA,2013J,F,North Region,10-20,35-55,N,0,1,0,4,1,0,60,2.0,71.0,66.0,76.0,1.0,7.0710678118654755,1.0,0
AAA_2013J_114999,114999,AAA,2013J,M,Yorkshire Region,60-70%,35-55,N,1,1,0,3,6,0,60,2.0,76.5,74.0,79.0,1.5,3.5355339059327378,1.0,0
AAA_2013J_116541,116541,AAA,2013J,M,Wales,0-10%,0-35,N,1,0,0,3,0,0,60,2.0,71.0,66.0,76.0,-10.5,7.0710678118654755,1.0,0
AAA_2013J_116692,116692,AAA,2013J,M,East Anglian Region,70-80%,35-55,N,1,1,0,2,7,0,60,2.0,74.5,72.0,77.0,5.0,3.5355339059327378,1.0,0
AAA_2013J_118983,118983,AAA,2013J,M,East Midlands Region,30-40%,0-35,N,1,0,0,3,3,0,120,2.0,68.0,63.0,73.0,0.0,7.0710678118654755,1.0,0
AAA_2013J_123044,123044,AAA,2013J,M,South Region,40-50%,35-55,N,1,1,0,2,4,0,60,2.0,73.5,72.0,75.0,-3.0,2.1213203435596424,1.0,0
AAA_2013J_127582,127582,AAA,2013J,F,East Midlands Region,40-50%,0-35,N,0,0,0,2,4,0,180,2.0,67.5,66.0,69.0,-7.0,2.1213203435596424,1.0,0
AAA_2013J_129955,129955,AAA,2013J,M,West Midlands Region,50-60%,0-35,N,1,0,0,2,5,0,60,2.0,83.5,82.0,85.0,0.5,2.1213203435596424,1.0,1
AAA_2013J_132976,132976,AAA,2013J,F,East Anglian Region,80-90%,35-55,N,0,1,0,1,8,0,120,2.0,64.0,63.0,65.0,1.0,1.4142135623730951,1.0,0
AAA_2013J_134143,134143,AAA,2013J,F,South East Region,90-100%,35-55,N,0,1,0,2,9,0,60,2.0,85.0,83.0,87.0,1.0,2.8284271247461903,1.0,0
AAA_2013J_135335,135335,AAA,2013J,F,East Anglian Region,20-30%,0-35,N,0,0,0,1,2,0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA_2013J_135400,135400,AAA,2013J,F,South East Region,90-100%,35-55,Y,0,1,1,1,9,0,60,2.0,61.5,51.0,72.0,2.5,14.849242404917497,1.0,1
AAA_2013J_137873,137873,AAA,2013J,M,South West Region,40-50%,35-55,N,1,1,0,2,4,0,60,2.0,76.5,72.0,81.0,2.0,6.363961030678928,1.0,0
AAA_2013J_141355,141355,AAA,2013J,F,East Midlands Region,30-40%,0-35,N,0,0,0,2,3,0,240,2.0,75.5,74.0,77.0,0.0,2.1213203435596424,1.0,0
AAA_2013J_141377,141377,AAA,2013J,M,South West Region,90-100%,0-35,N,1,0,0,2,9,0,345,1.0,45.0,45.0,45.0,-35.0,0.0,0.5,1
AAA_2013J_142326,142326,AAA,2013J,F,North Region,50-60%,35-55,N,0,1,0,2,5,0,60,2.0,70.5,65.0,76.0,-4.5,7.7781745930520225,1.0,0
AAA_2013J_144801,144801,AAA,2013J,F,South Region,80-90%,35-55,N,0,1,0,3,8,0,60,2.0,62.5,61.0,64.0,-1.0,2.1213203435596424,1.0,0
AAA_2013J_145130,145130,AAA,2013J,M,South West Region,60-70%,0-35,N,1,0,0,3,6,0,120,2.0,56.0,37.0,75.0,0.0,26.870057685088806,1.0,0
AAA_2013J_146188,146188,AAA,2013J,F,West Midlands Region,20-30%,0-35,Y,0,0,1,2,2,0,60,2.0,52.5,52.0,53.0,-3.5,0.7071067811865476,1.0,1
AAA_2013J_147756,147756,AAA,2013J,M,North Region,60-70%,0-35,N,1,0,0,1,6,0,120,2.0,74.5,72.0,77.0,1.0,3.5355339059327378,1.0,1
AAA_2013J_147793,147793,AAA,2013J,F,North Region,80-90%,0-35,N,0,0,0,1,8,0,90,1.0,52.0,52.0,52.0,-13.0,0.0,0.5,1
AAA_2013J_148993,148993,AAA,2013J,F,North Western Region,30-40%,35-55,Y,0,1,1,2,3,0,60,2.0,69.0,68.0,70.0,-7.5,1.4142135623730951,1.0,1
AAA_2013J_151358,151358,AAA,2013J,F,London Region,80-90%,0-35,N,0,0,0,2,8,0,150,2.0,51.0,48.0,54.0,2.0,4.242640687119285,1.0,0
AAA_2013J_155550,155550,AAA,2013J,M,London Region,0-10%,35-55,N,1,1,0,2,0,0,420,2.0,70.5,66.0,75.0,0.0,6.363961030678928,1.0,0
AAA_2013J_155854,155854,AAA,2013J,F,East Midlands Region,20-30%,35-55,N,0,1,0,2,2,0,60,2.0,80.5,79.0,82.0,1.0,2.1213203435596424,1.0,0
AAA_2013J_155984,155984,AAA,2013J,F,East Anglian Region,70-80%,0-35,N,0,0,0,1,7,0,60,2.0,80.0,75.0,85.0,-18.0,7.0710678118654755,1.0,1
AAA_2013J_157568,157568,AAA,2013J,F,South West Region,90-100%,0-35,N,0,0,0,2,9,0,60,2.0,80.0,79.0,81.0,-5.5,1.4142135623730951,1.0,0
AAA_2013J_159954,159954,AAA,2013J,M,East Midlands Region,40-50%,35-55,N,1,1,0,2,4,0,60,2.0,66.5,65.0,68.0,-3.5,2.1213203435596424,1.0,1
AAA_2013J_164259,164259,AAA,2013J,M,Scotland,70-80%,0-35,N,1,0,0,2,7,0,60,2.0,70.0,58.0,82.0,1.0,16.97056274847714,1.0,0
AAA_2013J_167906,167906,AAA,2013J,F,Yorkshire Region,40-50%,35-55,N,0,1,0,2,4,0,60,2.0,59.0,58.0,60.0,0.0,1.4142135623730951,1.0,0
AAA_2013J_168936,168936,AAA,2013J,F,West Midlands Region,10-20,35-55,N,0,1,0,1,1,0,60,2.0,77.5,76.0,79.0,0.0,2.1213203435596424,1.0,0
AAA_2013J_172112,172112,AAA,2013J,M,Ireland,0-10%,35-55,N,1,1,0,3,0,0,60,2.0,63.5,60.0,67.0,-7.0,4.949747468305833,1.0,0
AAA_2013J_172797,172797,AAA,2013J,F,Ireland,0-10%,35-55,N,0,1,0,2,0,0,60,2.0,57.0,54.0,60.0,1.0,4.242640687119285,1.0,0
AAA_2013J_174782,174782,AAA,2013J,M,East Anglian Region,90-100%,55<=,N,1,2,0,3,9,0,60,2.0,81.0,79.0,83.0,2.0,2.8284271247461903,1.0,0
AAA_2013J_175392,175392,AAA,2013J,M,North Region,10-20,35-55,N,1,1,0,3,1,0,60,2.0,79.5,74.0,85.0,2.0,7.7781745930520225,1.0,0
AAA_2013J_175932,175932,AAA,2013J,M,North Western Region,70-80%,35-55,N,1,1,0,3,7,0,60,2.0,74.5,73.0,76.0,-1.0,2.1213203435596424,1.0,0
AAA_2013J_175991,175991,AAA,2013J,F,North Western Region,80-90%,0-35,N,0,0,0,2,8,0,180,2.0,39.5,28.0,51.0,-29.0,16.263455967290593,1.0,1
AAA_2013J_180753,180753,AAA,2013J,M,South West Region,30-40%,0-35,N,1,0,0,2,3,0,120,2.0,60.0,59.0,61.0,1.0,1.4142135623730951,1.0,0
AAA_2013J_181316,181316,AAA,2013J,F,South West Region,80-90%,35-55,N,0,1,0,2,8,0,120,1.0,76.0,76.0,76.0,-1.0,0.0,0.5,1
AAA_2013J_183096,183096,AAA,2013J,F,South West Region,60-70%,0-35,N,0,0,0,2,6,0,60,2.0,55.0,53.0,57.0,-1.5,2.8284271247461903,1.0,0
AAA_2013J_183947,183947,AAA,2013J,M,London Region,10-20,0-35,N,1,0,0,2,1,0,180,2.0,50.0,33.0,67.0,0.0,24.041630560342615,1.0,0
AAA_2013J_184271,184271,AAA,2013J,M,South West Region,80-90%,35-55,N,1,1,0,3,8,0,170,2.0,63.5,62.0,65.0,1.0,2.1213203435596424,1.0,0
AAA_2013J_185439,185439,AAA,2013J,M,London Region,10-20,0-35,N,1,0,0,3,1,0,120,1.0,74.0,74.0,74.0,-5.0,0.0,0.5,1
AAA_2013J_186149,186149,AAA,2013J,M,Scotland,30-40%,35-55,N,1,1,0,3,3,0,60,2.0,83.0,81.0,85.0,-14.0,2.8284271247461903,1.0,0
AAA_2013J_187100,187100,AAA,2013J,M,South East Region,50-60%,35-55,N,1,1,0,2,5,0,60,2.0,89.0,88.0,90.0,2.0,1.4142135623730951,1.0,0
AAA_2013J_188278,188278,AAA,2013J,M,Yorkshire Region,70-80%,35-55,N,1,1,0,2,7,0,120,1.0,76.0,76.0,76.0,0.0,0.0,0.5,1
AAA_2013J_189879,189879,AAA,2013J,M,Scotland,90-100%,0-35,N,1,0,0,2,9,0,120,2.0,80.5,76.0,85.0,-3.0,6.363961030678928,1.0,0
AAA_2013J_192183,192183,AAA,2013J,F,South West Region,90-100%,0-35,N,0,0,0,1,9,0,60,2.0,70.5,66.0,75.0,-2.0,6.363961030678928,1.0,0
AAA_2013J_195262,195262,AAA,2013J,M,London Region,90-100%,0-35,N,1,0,0,2,9,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA_2013J_200860,200860,AAA,2013J,M,London Region,50-60%,35-55,N,1,1,0,1,5,0,60,2.0,63.5,58.0,69.0,1.0,7.7781745930520225,1.0,0
AAA_2013J_202635,202635,AAA,2013J,F,Wales,30-40%,0-35,N,0,0,0,2,3,0,60,2.0,69.0,68.0,70.0,-8.5,1.4142135623730951,1.0,1
AAA_2013J_205350,205350,AAA,2013J,M,South West Region,80-90%,35-55,N,1,1,0,3,8,0,60,2.0,67.0,59.0,75.0,0.0,11.313708498984761,1.0,0
AAA_2013J_205719,205719,AAA,2013J,M,East Anglian Region,40-50%,0-35,Y,1,0,1,2,4,0,90,2.0,65.0,63.0,67.0,-2.0,2.8284271247461903,1.0,1
AAA_2013J_227499,227499,AAA,2013J,F,London Region,10-20,35-55,N,0,1,0,2,1,0,60,2.0,83.5,83.0,84.0,0.5,0.7071067811865476,1.0,0
AAA_2013J_227517,227517,AAA,2013J,M,Ireland,0-10%,0-35,N,1,0,0,3,0,0,180,2.0,65.0,63.0,67.0,0.5,2.8284271247461903,1.0,1
AAA_2013J_228082,228082,AAA,2013J,M,London Region,60-70%,0-35,N,1,0,0,3,6,0,60,2.0,63.0,58.0,68.0,0.0,7.0710678118654755,1.0,0
AAA_2013J_228222,228222,AAA,2013J,M,East Midlands Region,50-60%,0-35,N,1,0,0,1,5,0,60,2.0,58.0,45.0,71.0,-3.5,18.384776310850235,1.0,0
AAA_2013J_229179,229179,AAA,2013J,M,West Midlands Region,20-30%,0-35,N,1,0,0,2,2,0,60,2.0,66.0,64.0,68.0,0.0,2.8284271247461903,1.0,0
AAA_2013J_229361,229361,AAA,2013J,M,East Midlands Region,50-60%,0-35,N,1,0,0,2,5,0,60,2.0,78.5,76.0,81.0,1.0,3.5355339059327378,1.0,0
AAA_2013J_231554,231554,AAA,2013J,M,London Region,40-50%,0-35,N,1,0,0,2,4,0,240,2.0,71.0,62.0,80.0,0.0,12.727922061357855,1.0,0
AAA_2013J_235507,235507,AAA,2013J,M,Yorkshire Region,90-100%,0-35,N,1,0,0,2,9,0,240,1.0,65.0,65.0,65.0,1.0,0.0,0.5,1
AAA_2013J_236284,236284,AAA,2013J,M,Scotland,90-100%,0-35,N,1,0,0,4,9,0,60,2.0,84.5,84.0,85.0,-2.0,0.7071067811865476,1.0,0
AAA_2013J_238007,238007,AAA,2013J,M,South Region,90-100%,55<=,N,1,2,0,3,9,0,60,2.0,78.0,73.0,83.0,0.0,7.0710678118654755,1.0,0
AAA_2013J_240712,240712,AAA,2013J,M,London Region,80-90%,0-35,N,1,0,0,3,8,0,80,2.0,81.5,81.0,82.0,0.0,0.7071067811865476,1.0,0
AAA_2013J_240884,240884,AAA,2013J,M,South Region,90-100%,0-35,N,1,0,0,2,9,0,120,2.0,64.0,54.0,74.0,1.0,14.142135623730951,1.0,0
AAA_2013J_241649,241649,AAA,2013J,M,East Anglian Region,90-100%,35-55,N,1,1,0,3,9,0,60,2.0,75.5,66.0,85.0,7.5,13.435028842544403,1.0,0
AAA_2013J_241729,241729,AAA,2013J,F,East Midlands Region,60-70%,35-55,N,0,1,0,3,6,0,60,2.0,53.0,51.0,55.0,-5.0,2.8284271247461903,1.0,1
AAA_2013J_242793,242793,AAA,2013J,M,London Region,20-30%,35-55,N,1,1,0,3,2,0,60,2.0,70.5,66.0,75.0,1.0,6.363961030678928,1.0,0
AAA_2013J_246834,246834,AAA,2013J,M,South West Region,90-100%,35-55,N,1,1,0,2,9,0,60,2.0,58.0,56.0,60.0,0.5,2.8284271247461903,1.0,0
AAA_2013J_248270,248270,AAA,2013J,M,North Western Region,20-30%,0-35,N,1,0,0,1,2,0,90,2.0,78.0,77.0,79.0,-3.5,1.4142135623730951,1.0,0
AAA_2013J_255548,255548,AAA,2013J,M,Wales,20-30%,35-55,N,1,1,0,1,2,0,60,2.0,79.5,75.0,84.0,-3.5,6.363961030678928,1.0,0
AAA_2013J_256815,256815,AAA,2013J,M,North Western Region,10-20,0-35,N,1,0,0,3,1,0,120,2.0,73.0,71.0,75.0,-9.0,2.8284271247461903,1.0,0
AAA_2013J_258392,258392,AAA,2013J,F,West Midlands Region,30-40%,0-35,N,0,0,0,1,3,0,60,2.0,57.5,57.0,58.0,-2.5,0.7071067811865476,1.0,0
AAA_2013J_258894,258894,AAA,2013J,F,East Anglian Region,70-80%,35-55,N,0,1,0,1,7,0,60,2.0,61.5,58.0,65.0,-6.5,4.949747468305833,1.0,0
AAA_2013J_260355,260355,AAA,2013J,F,London Region,80-90%,35-55,N,0,1,0,2,8,0,60,2.0,57.5,55.0,60.0,-3.5,3.5355339059327378,1.0,1
AAA_2013J_262011,262011,AAA,2013J,M,East Midlands Region,20-30%,35-55,N,1,1,0,2,2,0,60,2.0,69.5,60.0,79.0,0.5,13.435028842544403,1.0,0
AAA_2013J_262934,262934,AAA,2013J,F,North Western Region,30-40%,35-55,N,0,1,0,2,3,0,60,2.0,80.5,80.0,81.0,1.0,0.7071067811865476,1.0,0
AAA_2013J_268073,268073,AAA,2013J,M,East Anglian Region,10-20,35-55,N,1,1,0,2,1,0,90,2.0,71.0,64.0,78.0,2.5,9.899494936611665,1.0,1
AAA_2013J_268733,268733,AAA,2013J,M,East Anglian Region,30-40%,0-35,N,1,0,0,2,3,0,180,1.0,51.0,51.0,51.0,-10.0,0.0,0.5,1
AAA_2013J_271251,271251,AAA,2013J,M,Scotland,80-90%,35-55,N,1,1,0,2,8,0,60,2.0,71.0,62.0,80.0,0.0,12.727922061357855,1.0,0
AAA_2013J_277880,277880,AAA,2013J,F,South East Region,60-70%,0-35,N,0,0,0,2,6,0,60,2.0,67.5,65.0,70.0,-9.5,3.5355339059327378,1.0,1
AAA_2013J_279572,279572,AAA,2013J,M,London Region,40-50%,0-35,N,1,0,0,1,4,0,60,2.0,80.5,79.0,82.0,0.5,2.1213203435596424,1.0,0
AAA_2013J_281022,281022,AAA,2013J,F,Scotland,30-40%,0-35,N,0,0,0,2,3,0,150,2.0,71.0,70.0,72.0,-1.5,1.4142135623730951,1.0,0
AAA_2013J_281250,281250,AAA,2013J,M,Wales,70-80%,35-55,N,1,1,0,1,7,0,60,2.0,60.0,57.0,63.0,1.5,4.242640687119285,1.0,1
AAA_2013J_281589,281589,AAA,2013J,M,North Western Region,30-40%,0-35,N,1,0,0,3,3,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA_2013J_282821,282821,AAA,2013J,M,South West Region,30-40%,35-55,N,1,1,0,2,3,0,60,2.0,57.0,53.0,61.0,-4.5,5.656854249492381,1.0,0
AAA_2013J_286488,286488,AAA,2013J,M,South East Region,90-100%,35-55,N,1,1,0,2,9,0,60,2.0,64.0,55.0,73.0,0.5,12.727922061357855,1.0,0
AAA_2013J_287548,287548,AAA,2013J,M,East Anglian Region,90-100%,0-35,N,1,0,0,2,9,0,120,2.0,69.5,69.0,70.0,-0.5,0.7071067811865476,1.0,0
AAA_2013J_290201,290201,AAA,2013J,M,Wales,20-30%,0-35,N,1,0,0,2,2,0,60,2.0,73.5,69.0,78.0,-3.0,6.363961030678928,1.0,0
AAA_2013J_290757,290757,AAA,2013J,M,North Western Region,30-40%,0-35,N,1,0,0,2,3,0,60,2.0,74.5,74.0,75.0,1.0,0.7071067811865476,1.0,0
AAA_2013J_291334,291334,AAA,2013J,M,South East Region,90-100%,35-55,N,1,1,0,2,9,0,60,2.0,84.5,84.0,85.0,-2.5,0.7071067811865476,1.0,0
AAA_2013J_292923,292923,AAA,2013J,F,South East Region,90-100%,35-55,N,0,1,0,2,9,0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA_2013J_293699,293699,AAA,2013J,M,East Midlands Region,70-80%,0-35,N,1,0,0,2,7,0,120,1.0,55.0,55.0,55.0,0.0,0.0,0.5,0
AAA_2013J_294570,294570,AAA,2013J,M,South East Region,90-100%,55<=,N,1,2,0,3,9,0,60,2.0,77.0,72.0,82.0,3.5,7.0710678118654755,1.0,0
AAA_2013J_294594,294594,AAA,2013J,M,South East Region,90-100%,0-35,N,1,0,0,2,9,0,60,2.0,57.0,53.0,61.0,1.0,5.656854249492381,1.0,0
AAA_2013J_295741,295741,AAA,2013J,M,South East Region,40-50%,35-55,N,1,1,0,2,4,0,240,2.0,45.0,38.0,52.0,1.0,9.899494936611665,1.0,1
AAA_2013J_296332,296332,AAA,2013J,M,South Region,90-100%,55<=,N,1,2,0,4,9,0,60,2.0,93.0,91.0,95.0,1.5,2.8284271247461903,1.0,0
AAA_2013J_298696,298696,AAA,2013J,F,South East Region,80-90%,0-35,N,0,0,0,3,8,0,60,2.0,73.5,70.0,77.0,-7.0,4.949747468305833,1.0,0
AAA_2013J_300398,300398,AAA,2013J,M,West Midlands Region,30-40%,35-55,N,1,1,0,2,3,0,60,2.0,81.0,80.0,82.0,2.5,1.4142135623730951,1.0,0
AAA_2013J_302302,302302,AAA,2013J,F,East Anglian Region,40-50%,0-35,N,0,0,0,2,4,0,60,2.0,58.5,58.0,59.0,-2.0,0.7071067811865476,1.0,1
AAA_2013J_305152,305152,AAA,2013J,M,North Western Region,70-80%,0-35,N,1,0,0,2,7,0,60,1.0,64.0,64.0,64.0,0.0,0.0,0.5,1
AAA_2013J_305386,305386,AAA,2013J,M,West Midlands Region,70-80%,0-35,Y,1,0,1,2,7,0,120,2.0,75.5,75.0,76.0,0.0,0.7071067811865476,1.0,0
AAA_2013J_305539,305539,AAA,2013J,F,Wales,80-90%,0-35,N,0,0,0,1,8,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA_2013J_306107,306107,AAA,2013J,M,West Midlands Region,50-60%,35-55,N,1,1,0,2,5,0,120,2.0,59.5,46.0,73.0,0.5,19.091883092036785,1.0,0
AAA_2013J_306466,306466,AAA,2013J,M,East Anglian Region,90-100%,35-55,N,1,1,0,2,9,0,60,2.0,79.5,78.0,81.0,6.5,2.1213203435596424,1.0,0
AAA_2013J_306897,306897,AAA,2013J,F,London Region,10-20,0-35,N,0,0,0,2,1,0,60,2.0,72.5,72.0,73.0,3.5,0.7071067811865476,1.0,0
AAA_2013J_307061,307061,AAA,2013J,F,East Midlands Region,10-20,0-35,N,0,0,0,3,1,0,60,2.0,79.0,76.0,82.0,0.0,4.242640687119285,1.0,0
AAA_2013J_307866,307866,AAA,2013J,M,West Midlands Region,70-80%,0-35,N,1,0,0,2,7,0,60,2.0,49.5,47.0,52.0,0.0,3.5355339059327378,1.0,0
AAA_2013J_311917,311917,AAA,2013J,M,South West Region,60-70%,55<=,N,1,2,0,2,6,0,120,2.0,50.5,46.0,55.0,2.0,6.363961030678928,1.0,0
AAA_2013J_312537,312537,AAA,2013J,M,South Region,90-100%,55<=,N,1,2,0,4,9,0,60,2.0,89.0,88.0,90.0,0.0,1.4142135623730951,1.0,0
AAA_2013J_312782,312782,AAA,2013J,M,South Region,90-100%,0-35,N,1,0,0,2,9,0,60,2.0,71.5,54.0,89.0,1.0,24.748737341529164,1.0,0
AAA_2013J_318933,318933,AAA,2013J,F,East Anglian Region,80-90%,0-35,N,0,0,0,3,8,0,120,2.0,66.5,63.0,70.0,2.0,4.949747468305833,1.0,0
AAA_2013J_319047,319047,AAA,2013J,F,East Midlands Region,50-60%,0-35,N,0,0,0,2,5,0,60,2.0,76.0,75.0,77.0,-3.5,1.4142135623730951,1.0,0
AAA_2013J_321942,321942,AAA,2013J,M,South Region,90-100%,55<=,N,1,2,0,3,9,0,60,2.0,81.0,80.0,82.0,1.5,1.4142135623730951,1.0,0
AAA_2013J_324002,324002,AAA,2013J,M,East Anglian Region,40-50%,35-55,N,1,1,0,3,4,0,60,2.0,77.0,69.0,85.0,0.5,11.313708498984761,1.0,0
AAA_2013J_324084,324084,AAA,2013J,F,South West Region,10-20,35-55,N,0,1,0,2,1,0,60,2.0,46.5,35.0,58.0,-1.0,16.263455967290593,1.0,0
AAA_2013J_324282,324282,AAA,2013J,M,South East Region,90-100%,0-35,N,1,0,0,2,9,0,120,2.0,48.0,38.0,58.0,1.0,14.142135623730951,1.0,0
AAA_2013J_331358,331358,AAA,2013J,F,South Region,90-100%,35-55,N,0,1,0,3,9,0,60,1.0,84.0,84.0,84.0,1.0,0.0,0.5,1
AAA_2013J_332789,332789,AAA,2013J,F,East Anglian Region,60-70%,35-55,N,0,1,0,2,6,0,60,2.0,73.0,69.0,77.0,0.5,5.656854249492381,1.0,0
